"","pathway_name","ID","family","mapp_type","category","mapped_ID","mapped_family"
"1","2-Oxocarboxylic acid metabolism - Homo sapiens (human)","path:hsa01210","kegg","isPartOf","Amino Acid metabolism","WP3925","wikipathways"
"2","AMPK signaling pathway - Homo sapiens (human)","path:hsa04152","kegg","equivalentTo","AMP-activated Protein Kinase (AMPK) Signaling","WP1403","wikipathways"
"3","Leptin and adiponectin","WP3934","wikipathways","isPartOf","Adipocytokine signaling pathway - Homo sapiens (human)","path:hsa04920","kegg"
"4","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)","path:hsa00250","kegg","isPartOf","Amino Acid metabolism","WP3925","wikipathways"
"5","Alanine and aspartate metabolism","WP106","wikipathways","isPartOf","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)","path:hsa00250","kegg"
"6","Alcoholism - Homo sapiens (human)","path:hsa05034","kegg","isPartOf","Common Pathways Underlying Drug Addiction","WP2636","wikipathways"
"7","Aldosterone synthesis and secretion - Homo sapiens (human)","path:hsa04925","kegg","isPartOf","Glucocorticoid and Mineralcorticoid Metabolism","WP237","wikipathways"
"8","Allograft rejection - Homo sapiens (human)","path:hsa05330","kegg","equivalentTo","Allograft Rejection","WP2328","wikipathways"
"9","Alzheimer disease - Homo sapiens (human)","path:hsa05010","kegg","equivalentTo","Alzheimers Disease","WP2059","wikipathways"
"10","Amphetamine addiction - Homo sapiens (human)","path:hsa05031","kegg","isPartOf","Common Pathways Underlying Drug Addiction","WP2636","wikipathways"
"11","Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human)","path:hsa05014","kegg","equivalentTo","Amyotrophic lateral sclerosis (ALS)","WP2447","wikipathways"
"12","Apoptosis - Homo sapiens (human)","path:hsa04210","kegg","equivalentTo","Apoptosis","WP254","wikipathways"
"13","Apoptosis Modulation by HSP70","WP384","wikipathways","isPartOf","Apoptosis - Homo sapiens (human)","path:hsa04210","kegg"
"14","Nanomaterial induced apoptosis","WP2507","wikipathways","isPartOf","Apoptosis - Homo sapiens (human)","path:hsa04210","kegg"
"15","Apoptosis Modulation and Signaling","WP1772","wikipathways","isPartOf","Apoptosis - Homo sapiens (human)","path:hsa04210","kegg"
"16","Nanomaterial induced apoptosis","WP2507","wikipathways","isPartOf","Apoptosis - multiple species - Homo sapiens (human)","path:hsa04215","kegg"
"17","Apoptosis Modulation by HSP70","WP384","wikipathways","isPartOf","Apoptosis - multiple species - Homo sapiens (human)","path:hsa04215","kegg"
"18","Apoptosis Modulation and Signaling","WP1772","wikipathways","isPartOf","Apoptosis - multiple species - Homo sapiens (human)","path:hsa04215","kegg"
"19","Arginine and proline metabolism - Homo sapiens (human)","path:hsa00330","kegg","isPartOf","Amino Acid metabolism","WP3925","wikipathways"
"20","Arginine and proline metabolism - Homo sapiens (human)","path:hsa00330","kegg","isPartOf","Urea cycle and metabolism of amino groups","WP497","wikipathways"
"21","Arginine biosynthesis - Homo sapiens (human)","path:hsa00220","kegg","isPartOf","Amino Acid metabolism","WP3925","wikipathways"
"22","Arginine biosynthesis - Homo sapiens (human)","path:hsa00220","kegg","isPartOf","Urea cycle and metabolism of amino groups","WP497","wikipathways"
"23","Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)","path:hsa05412","kegg","equivalentTo","Arrhythmogenic Right Ventricular Cardiomyopathy","WP2118","wikipathways"
"24","B cell receptor signaling pathway - Homo sapiens (human)","path:hsa04662","kegg","equivalentTo","B Cell Receptor Signaling Pathway","WP23","wikipathways"
"25","Eukaryotic Transcription Initiation","WP405","wikipathways","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
