2-Oxocarboxylic acid metabolism - Homo sapiens (human)	path:hsa01210	kegg	isPartOf	Amino Acid metabolism	WP3925	wikipathways
AMPK signaling pathway - Homo sapiens (human)	path:hsa04152	kegg	equivalentTo	AMP-activated Protein Kinase (AMPK) Signaling	WP1403	wikipathways
Leptin and adiponectin	WP3934	wikipathways	isPartOf	Adipocytokine signaling pathway - Homo sapiens (human)	path:hsa04920	kegg
Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	path:hsa00250	kegg	isPartOf	Amino Acid metabolism	WP3925	wikipathways
Alanine and aspartate metabolism	WP106	wikipathways	isPartOf	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	path:hsa00250	kegg
Alcoholism - Homo sapiens (human)	path:hsa05034	kegg	isPartOf	Common Pathways Underlying Drug Addiction	WP2636	wikipathways
Aldosterone synthesis and secretion - Homo sapiens (human)	path:hsa04925	kegg	isPartOf	Glucocorticoid and Mineralcorticoid Metabolism	WP237	wikipathways
Allograft rejection - Homo sapiens (human)	path:hsa05330	kegg	equivalentTo	Allograft Rejection	WP2328	wikipathways
Alzheimer disease - Homo sapiens (human)	path:hsa05010	kegg	equivalentTo	Alzheimers Disease	WP2059	wikipathways
Amphetamine addiction - Homo sapiens (human)	path:hsa05031	kegg	isPartOf	Common Pathways Underlying Drug Addiction	WP2636	wikipathways
Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human)	path:hsa05014	kegg	equivalentTo	Amyotrophic lateral sclerosis (ALS)	WP2447	wikipathways
Apoptosis - Homo sapiens (human)	path:hsa04210	kegg	equivalentTo	Apoptosis	WP254	wikipathways
Apoptosis Modulation by HSP70	WP384	wikipathways	isPartOf	Apoptosis - Homo sapiens (human)	path:hsa04210	kegg
Nanomaterial induced apoptosis	WP2507	wikipathways	isPartOf	Apoptosis - Homo sapiens (human)	path:hsa04210	kegg
Apoptosis Modulation and Signaling	WP1772	wikipathways	isPartOf	Apoptosis - Homo sapiens (human)	path:hsa04210	kegg
Nanomaterial induced apoptosis	WP2507	wikipathways	isPartOf	Apoptosis - multiple species - Homo sapiens (human)	path:hsa04215	kegg
Apoptosis Modulation by HSP70	WP384	wikipathways	isPartOf	Apoptosis - multiple species - Homo sapiens (human)	path:hsa04215	kegg
Apoptosis Modulation and Signaling	WP1772	wikipathways	isPartOf	Apoptosis - multiple species - Homo sapiens (human)	path:hsa04215	kegg
Arginine and proline metabolism - Homo sapiens (human)	path:hsa00330	kegg	isPartOf	Amino Acid metabolism	WP3925	wikipathways
Arginine and proline metabolism - Homo sapiens (human)	path:hsa00330	kegg	isPartOf	Urea cycle and metabolism of amino groups	WP497	wikipathways
Arginine biosynthesis - Homo sapiens (human)	path:hsa00220	kegg	isPartOf	Amino Acid metabolism	WP3925	wikipathways
Arginine biosynthesis - Homo sapiens (human)	path:hsa00220	kegg	isPartOf	Urea cycle and metabolism of amino groups	WP497	wikipathways
Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)	path:hsa05412	kegg	equivalentTo	Arrhythmogenic Right Ventricular Cardiomyopathy	WP2118	wikipathways
B cell receptor signaling pathway - Homo sapiens (human)	path:hsa04662	kegg	equivalentTo	B Cell Receptor Signaling Pathway	WP23	wikipathways
Eukaryotic Transcription Initiation	WP405	wikipathways	isPartOf	Basal transcription factors - Homo sapiens (human)	path:hsa03022	kegg
Drug Induction of Bile Acid Pathway	WP2289	wikipathways	isPartOf	Bile secretion - Homo sapiens (human)	path:hsa04976	kegg
Alanine and aspartate metabolism	WP106	wikipathways	isPartOf	Biosynthesis of amino acids - Homo sapiens (human)	path:hsa01230	kegg
Urea cycle and metabolism of amino groups	WP497	wikipathways	isPartOf	Biosynthesis of amino acids - Homo sapiens (human)	path:hsa01230	kegg
Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	path:hsa01040	kegg	isPartOf	Fatty Acid Biosynthesis	WP357	wikipathways
Bladder cancer - Homo sapiens (human)	path:hsa05219	kegg	equivalentTo	Bladder Cancer	WP2828	wikipathways
Caffeine metabolism - Homo sapiens (human)	path:hsa00232	kegg	isPartOf	Caffeine and Theobromine metabolism	WP3633	wikipathways
Cori Cycle	WP1946	wikipathways	isPartOf	Carbon metabolism - Homo sapiens (human)	path:hsa01200	kegg
Pentose Phosphate Pathway	WP134	wikipathways	isPartOf	Carbon metabolism - Homo sapiens (human)	path:hsa01200	kegg
Glycolysis and Gluconeogenesis	WP534	wikipathways	isPartOf	Carbon metabolism - Homo sapiens (human)	path:hsa01200	kegg
TCA Cycle	WP78	wikipathways	isPartOf	Carbon metabolism - Homo sapiens (human)	path:hsa01200	kegg
One Carbon Metabolism	WP241	wikipathways	isPartOf	Carbon metabolism - Homo sapiens (human)	path:hsa01200	kegg
Cell cycle - Homo sapiens (human)	path:hsa04110	kegg	equivalentTo	Cell Cycle	WP179	wikipathways
G1 to S cell cycle control	WP45	wikipathways	isPartOf	Cell cycle - Homo sapiens (human)	path:hsa04110	kegg
Chemokine signaling pathway - Homo sapiens (human)	path:hsa04062	kegg	equivalentTo	Chemokine signaling pathway	WP3929	wikipathways
Cholesterol Biosynthesis	WP197	wikipathways	isPartOf	Cholesterol metabolism - Homo sapiens (human)	path:hsa04979	kegg
Imatinib and Chronic Myeloid Leukemia	WP3640	wikipathways	isPartOf	Chronic myeloid leukemia - Homo sapiens (human)	path:hsa05220	kegg
Circadian rythm related genes	WP3594	wikipathways	isPartOf	Circadian rhythm - Homo sapiens (human)	path:hsa04710	kegg
Citrate cycle (TCA cycle) - Homo sapiens (human)	path:hsa00020	kegg	equivalentTo	TCA Cycle	WP78	wikipathways
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	WP2453	wikipathways	isPartOf	Citrate cycle (TCA cycle) - Homo sapiens (human)	path:hsa00020	kegg
Cocaine addiction - Homo sapiens (human)	path:hsa05030	kegg	isPartOf	Common Pathways Underlying Drug Addiction	WP2636	wikipathways
Complement and coagulation cascades - Homo sapiens (human)	path:hsa04610	kegg	equivalentTo	Complement and Coagulation Cascades	WP558	wikipathways
Complement Activation	WP545	wikipathways	isPartOf	Complement and coagulation cascades - Homo sapiens (human)	path:hsa04610	kegg
Cortisol synthesis and secretion - Homo sapiens (human)	path:hsa04927	kegg	isPartOf	Glucocorticoid and Mineralcorticoid Metabolism	WP237	wikipathways
Cysteine and methionine metabolism - Homo sapiens (human)	path:hsa00270	kegg	isPartOf	Amino Acid metabolism	WP3925	wikipathways
Methionine De Novo and Salvage Pathway	WP3580	wikipathways	isPartOf	Cysteine and methionine metabolism - Homo sapiens (human)	path:hsa00270	kegg
Cytokine-cytokine receptor interaction - Homo sapiens (human)	path:hsa04060	kegg	isPartOf	Cytokines and Inflammatory Response	WP530	wikipathways
Cytokine-cytokine receptor interaction - Homo sapiens (human)	path:hsa04060	kegg	isPartOf	Inflammatory Response Pathway	WP453	wikipathways
DNA replication - Homo sapiens (human)	path:hsa03030	kegg	equivalentTo	DNA Replication	WP466	wikipathways
Nicotine Activity on Dopaminergic Neurons	WP1602	wikipathways	isPartOf	Dopaminergic synapse - Homo sapiens (human)	path:hsa04728	kegg
Lidocaine metabolism	WP2646	wikipathways	isPartOf	Drug metabolism - cytochrome P450 - Homo sapiens (human)	path:hsa00982	kegg
Codeine and Morphine Metabolism	WP1604	wikipathways	isPartOf	Drug metabolism - cytochrome P450 - Homo sapiens (human)	path:hsa00982	kegg
Valproic acid pathway	WP3871	wikipathways	isPartOf	Drug metabolism - cytochrome P450 - Homo sapiens (human)	path:hsa00982	kegg
Nicotine Metabolism	WP1600	wikipathways	isPartOf	Drug metabolism - cytochrome P450 - Homo sapiens (human)	path:hsa00982	kegg
Tamoxifen metabolism	WP691	wikipathways	isPartOf	Drug metabolism - cytochrome P450 - Homo sapiens (human)	path:hsa00982	kegg
Felbamate Metabolism	WP2816	wikipathways	isPartOf	Drug metabolism - cytochrome P450 - Homo sapiens (human)	path:hsa00982	kegg
Diclofenac Metabolic Pathway	WP2491	wikipathways	isPartOf	Drug metabolism - cytochrome P450 - Homo sapiens (human)	path:hsa00982	kegg
Codeine and Morphine Metabolism	WP1604	wikipathways	isPartOf	Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	kegg
Caffeine and Theobromine metabolism	WP3633	wikipathways	isPartOf	Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	kegg
Glucuronidation	WP698	wikipathways	isPartOf	Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	kegg
Arylamine metabolism	WP694	wikipathways	isPartOf	Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	kegg
Felbamate Metabolism	WP2816	wikipathways	isPartOf	Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	kegg
Colchicine Metabolic Pathway	WP2536	wikipathways	isPartOf	Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	kegg
